#,Phase,Lot,GS,MaxGrid,Mult,Deposit,Balance,StopOut,Bars,Score
0,baseline,0.01,100,5,1.5,1000,54.14,True,67,-945.86
1,optim3mo,0.04,50,3,1.3,10000,-9999.00,False,0,-9999.00
2,optim3mo,0.04,50,3,1.5,10000,-9999.00,False,0,-9999.00
3,optim3mo,0.04,75,3,1.3,10000,-9999.00,False,0,-9999.00
4,optim3mo,0.04,75,3,1.5,10000,-9999.00,False,0,-9999.00
5,optim3mo,0.04,100,3,1.3,10000,-9999.00,False,0,-9999.00
1,optim1mo,0.04,50,3,1.3,10000,-9999.00,False,0,-9999.00
2,optim1mo,0.04,50,3,1.5,10000,-9999.00,False,0,-9999.00
3,optim1mo,0.04,75,3,1.3,10000,-9999.00,False,0,-9999.00
1,optim1mo,0.04,50,3,1.3,10000,-9999.00,False,0,-9999.00
2,optim1mo,0.04,50,3,1.5,10000,-9999.00,False,0,-9999.00
1,optim1mo,0.04,50,3,1.3,10000,11468.77,False,28785,11468.77
2,optim1mo,0.04,50,3,1.5,10000,11923.10,False,28785,11923.10
3,optim1mo,0.04,75,3,1.3,10000,6617.16,False,28785,6617.16
4,optim1mo,0.04,75,3,1.5,10000,10952.74,False,28785,10952.74
5,optim1mo,0.04,100,3,1.3,10000,8138.05,False,28785,8138.05
6,optim1mo,0.04,100,3,1.5,10000,10076.51,False,28785,10076.51
7,optim1mo,0.06,50,3,1.3,10000,10864.30,False,28785,10864.30
8,optim1mo,0.06,50,3,1.5,10000,13428.48,False,28785,13428.48
9,optim1mo,0.06,75,3,1.3,10000,-10.07,True,25950,-10010.07
10,optim1mo,0.06,75,3,1.5,10000,12449.72,False,28785,12449.72
11,optim1mo,0.06,100,3,1.3,10000,8356.54,False,28785,8356.54
12,optim1mo,0.06,100,3,1.5,10000,9910.17,False,28785,9910.17
13,optim1mo,0.07,50,3,1.3,10000,11646.42,False,28785,11646.42
14,optim1mo,0.07,50,3,1.5,10000,7726.20,False,28785,7726.20
15,optim1mo,0.07,75,3,1.3,10000,13025.39,False,28785,13025.39
16,optim1mo,0.07,75,3,1.5,10000,12489.34,False,28785,12489.34
17,optim1mo,0.07,100,3,1.3,10000,13212.65,False,28785,13212.65
18,optim1mo,0.07,100,3,1.5,10000,8188.56,False,28785,8188.56
19,optim1mo,0.02,50,5,1.3,10000,12983.61,False,28785,12983.61
20,optim1mo,0.02,50,5,1.5,10000,10039.55,False,28785,10039.55
21,optim1mo,0.02,75,5,1.3,10000,11588.32,False,28785,11588.32
22,optim1mo,0.02,75,5,1.5,10000,19204.86,False,28785,19204.86
23,optim1mo,0.02,100,5,1.3,10000,9687.19,False,28785,9687.19
24,optim1mo,0.02,100,5,1.5,10000,-713.90,True,18241,-10713.90
25,optim1mo,0.03,50,5,1.3,10000,-85.69,True,17810,-10085.69
26,optim1mo,0.03,50,5,1.5,10000,-43.86,True,26066,-10043.86
27,optim1mo,0.03,75,5,1.3,10000,6512.67,False,28785,6512.67
28,optim1mo,0.03,75,5,1.5,10000,17257.12,False,28785,17257.12
29,optim1mo,0.03,100,5,1.3,10000,8143.58,False,28785,8143.58
30,optim1mo,0.03,100,5,1.5,10000,13115.10,False,28785,13115.10
31,optim1mo,0.04,50,5,1.3,10000,13337.67,False,28785,13337.67
32,optim1mo,0.04,50,5,1.5,10000,-1011.67,True,1288,-11011.67
33,optim1mo,0.04,75,5,1.3,10000,2.31,True,24923,-9997.69
34,optim1mo,0.04,75,5,1.5,10000,-32.81,True,10806,-10032.81
35,optim1mo,0.04,100,5,1.3,10000,-444.10,True,10783,-10444.10
36,optim1mo,0.04,100,5,1.5,10000,-3495.01,True,3986,-13495.01
37,validate5mo,0.02,75,5,1.5,10000,-701.29,True,31724,-10701.29
38,validate5mo,0.03,75,5,1.5,10000,11421.69,False,144209,11421.69
39,validate5mo,0.06,50,3,1.5,10000,10043.47,False,144209,10043.47
40,validate5mo,0.04,50,5,1.3,10000,8260.91,False,144209,8260.91
41,validate5mo,0.07,100,3,1.3,10000,6947.13,False,144209,6947.13
